Year,Municipality,Crop,Soil,Farms,Acres,Yield/Acre Metric,UOM in Metric,Yield/Acre Imperial,UOM Imperial
2003,MONTCALM,CANARYSEED,D,7,764,0.452,Tonnes,997.0,Pounds
2004,PIPESTONE,CANARYSEED,F,8,1180,0.449,Tonnes,991.0,Pounds
2003,BIFROST-RIVERTON,CANARYSEED,F,4,517,0.449,Tonnes,990.0,Pounds
2009,MORRIS,CANARYSEED,D,3,1072,0.444,Tonnes,980.0,Pounds
2002,ROLAND,CANARYSEED,D,6,981,0.439,Tonnes,968.0,Pounds
2003,ALEXANDER,CANARYSEED,F,3,735,0.43,Tonnes,948.0,Pounds
2003,PIPESTONE,CANARYSEED,F,8,1422,0.43,Tonnes,948.0,Pounds
2010,EMERSON-FRANKLIN,CANARYSEED,D,3,575,0.429,Tonnes,945.0,Pounds
2002,ROCKWOOD,CANARYSEED,E,7,944,0.422,Tonnes,931.0,Pounds
2002,CARTIER,CANARYSEED,D,24,4124,0.42,Tonnes,927.0,Pounds
2004,GRASSLAND,CANARYSEED,D,4,1350,0.412,Tonnes,908.0,Pounds
2000,GRASSLAND,LENTILS,E,11,2366,0.411,Tonnes,905.0,Pounds
2002,RHINELAND,CANARYSEED,E,8,1287,0.41,Tonnes,904.0,Pounds
2006,MORRIS,CANARYSEED,C,5,646,0.403,Tonnes,889.0,Pounds
2000,TWO BORDERS,LENTILS,H,5,1312,0.403,Tonnes,888.0,Pounds
2002,LAC DU BONNET,CANARYSEED,F,4,807,0.403,Tonnes,888.0,Pounds
2002,MOSSEY RIVER,CANARYSEED,F,3,598,0.387,Tonnes,853.0,Pounds
2002,MACDONALD,CANARYSEED,C,6,840,0.386,Tonnes,851.0,Pounds
2000,WALLACE-WOODWORTH,LENTILS,C,7,1301,0.38,Tonnes,838.0,Pounds
2000,HAMIOTA,LENTILS,B,9,1854,0.375,Tonnes,826.0,Pounds
2000,CARTIER,CANARYSEED,C,3,526,0.374,Tonnes,823.0,Pounds
2002,ST. FRANCIS XAVIER,CANARYSEED,C,3,584,0.37,Tonnes,817.0,Pounds
2000,DESALABERRY,CANARYSEED,E,12,1362,0.367,Tonnes,809.0,Pounds
2002,ALEXANDER,CANARYSEED,F,6,1220,0.367,Tonnes,808.0,Pounds
2002,GREY,CANARYSEED,D,18,3540,0.364,Tonnes,802.0,Pounds
2002,CARTIER,CANARYSEED,B,5,1234,0.36,Tonnes,794.0,Pounds
2002,ROLAND,CANARYSEED,E,5,856,0.36,Tonnes,793.0,Pounds
2000,EMERSON-FRANKLIN,CANARYSEED,E,4,631,0.358,Tonnes,790.0,Pounds
2002,MONTCALM,CANARYSEED,D,11,1120,0.349,Tonnes,768.0,Pounds
2002,RHINELAND,CANARYSEED,D,8,714,0.344,Tonnes,758.0,Pounds
2002,ST. FRANCIS XAVIER,CANARYSEED,D,3,1230,0.343,Tonnes,755.0,Pounds
2000,KELSEY,CANARYSEED,F,3,655,0.338,Tonnes,746.0,Pounds
2007,BROKENHEAD,CANARYSEED,D,4,576,0.339,Tonnes,746.0,Pounds
2002,GLENELLA-LANSDOWNE,CANARYSEED,G,4,794,0.336,Tonnes,740.0,Pounds
2002,MACDONALD,CANARYSEED,D,21,3667,0.331,Tonnes,730.0,Pounds
2002,MORRIS,CANARYSEED,D,16,2504,0.329,Tonnes,725.0,Pounds
2002,PIPESTONE,CANARYSEED,E,4,612,0.329,Tonnes,725.0,Pounds
2007,KELSEY,CANARYSEED,E,4,874,0.325,Tonnes,716.0,Pounds
2005,MORRIS,FABABEANS,C,3,570,0.32,Tonnes,706.0,Pounds
2002,BROKENHEAD,CANARYSEED,D,18,2367,0.316,Tonnes,696.0,Pounds
2002,BROKENHEAD,CANARYSEED,E,5,983,0.311,Tonnes,686.0,Pounds
2002,SPRINGFIELD,CANARYSEED,D,7,594,0.306,Tonnes,675.0,Pounds
2002,EMERSON-FRANKLIN,CANARYSEED,C,3,835,0.303,Tonnes,669.0,Pounds
2002,ST. CLEMENTS,CANARYSEED,D,7,942,0.298,Tonnes,656.0,Pounds
2002,HEADINGLEY,CANARYSEED,C,3,632,0.297,Tonnes,655.0,Pounds
2002,ROSSER,CANARYSEED,C,12,3619,0.296,Tonnes,653.0,Pounds
2004,KELSEY,CANARYSEED,F,5,977,0.295,Tonnes,650.0,Pounds
2000,BROKENHEAD,CANARYSEED,D,4,1021,0.294,Tonnes,648.0,Pounds
2001,BIFROST-RIVERTON,CANARYSEED,G,7,753,0.294,Tonnes,648.0,Pounds
2002,TWO BORDERS,CANARYSEED,F,7,797,0.292,Tonnes,644.0,Pounds
2010,BIFROST-RIVERTON,CANARYSEED,E,6,1012,0.288,Tonnes,636.0,Pounds
2002,MORRIS,CANARYSEED,E,27,5400,0.285,Tonnes,629.0,Pounds
2002,BIFROST-RIVERTON,CANARYSEED,F,15,1807,0.278,Tonnes,614.0,Pounds
2002,BIFROST-RIVERTON,CANARYSEED,E,13,1185,0.261,Tonnes,575.0,Pounds
2002,EMERSON-FRANKLIN,CANARYSEED,D,13,2276,0.253,Tonnes,559.0,Pounds
2002,DESALABERRY,CANARYSEED,C,5,568,0.246,Tonnes,543.0,Pounds
2002,BIFROST-RIVERTON,CANARYSEED,D,7,761,0.244,Tonnes,537.0,Pounds
2020,KELSEY,CANARYSEED,E,3,1220,0.241,Tonnes,531.0,Pounds
2002,MACDONALD,CANARYSEED,E,6,702,0.237,Tonnes,523.0,Pounds
2002,PIPESTONE,CANARYSEED,F,9,2046,0.237,Tonnes,523.0,Pounds
2002,RITCHOT,CANARYSEED,C,4,553,0.235,Tonnes,518.0,Pounds
2001,BIFROST-RIVERTON,CANARYSEED,E,7,836,0.228,Tonnes,504.0,Pounds
2004,KELSEY,CANARYSEED,E,8,941,0.225,Tonnes,496.0,Pounds
2002,MONTCALM,CANARYSEED,C,7,812,0.224,Tonnes,493.0,Pounds
2002,EMERSON-FRANKLIN,CANARYSEED,E,5,1034,0.209,Tonnes,461.0,Pounds
2005,MORRIS,CANARYSEED,E,5,613,0.208,Tonnes,459.0,Pounds
2002,WINNIPEG,CANARYSEED,C,3,699,0.202,Tonnes,445.0,Pounds
2021,KELSEY,CANARYSEED,F,3,901,0.201,Tonnes,444.0,Pounds
2021,GREY,CANARYSEED,D,3,1105,0.186,Tonnes,410.0,Pounds
2002,SPRINGFIELD,CANARYSEED,E,4,935,0.175,Tonnes,386.0,Pounds
2002,DESALABERRY,CANARYSEED,E,19,3082,0.167,Tonnes,369.0,Pounds
2001,MORRIS,CANARYSEED,D,12,1962,0.165,Tonnes,363.0,Pounds
2001,ROLAND,CANARYSEED,E,4,505,0.163,Tonnes,359.0,Pounds
2005,GREY,CANARYSEED,D,5,885,0.162,Tonnes,358.0,Pounds
2001,CARTIER,CANARYSEED,D,19,3781,0.159,Tonnes,351.0,Pounds
2002,DESALABERRY,CANARYSEED,D,10,1623,0.159,Tonnes,349.0,Pounds
2002,MORRIS,CANARYSEED,C,24,5325,0.158,Tonnes,348.0,Pounds
2001,MORRIS,CANARYSEED,E,26,5602,0.157,Tonnes,346.0,Pounds
2001,PORTAGE LA PRAIRIE,CANARYSEED,D,4,680,0.151,Tonnes,333.0,Pounds
2000,BRENDA-WASKADA,LENTILS,E,4,767,0.148,Tonnes,327.0,Pounds
2011,GREY,CANARYSEED,D,4,875,0.145,Tonnes,319.0,Pounds
2001,CARTIER,CANARYSEED,E,5,671,0.143,Tonnes,315.0,Pounds
2011,CARTIER,CANARYSEED,D,5,1368,0.14,Tonnes,309.0,Pounds
2022,GREY,CANARYSEED,D,3,1053,0.135,Tonnes,298.0,Pounds
2001,CARTIER,CANARYSEED,C,8,1437,0.127,Tonnes,281.0,Pounds
2005,BROKENHEAD,CANARYSEED,D,5,646,0.122,Tonnes,270.0,Pounds
2001,MORRIS,CANARYSEED,C,18,3638,0.122,Tonnes,269.0,Pounds
2001,BROKENHEAD,CANARYSEED,D,9,1626,0.121,Tonnes,268.0,Pounds
2005,CARTIER,CANARYSEED,D,3,505,0.12,Tonnes,265.0,Pounds
2001,ST. FRANCIS XAVIER,CANARYSEED,D,4,621,0.113,Tonnes,250.0,Pounds
2001,MONTCALM,CANARYSEED,D,6,682,0.111,Tonnes,244.0,Pounds
2001,LAC DU BONNET,CANARYSEED,F,5,702,0.109,Tonnes,241.0,Pounds
2001,GREY,CANARYSEED,D,17,3760,0.1,Tonnes,221.0,Pounds
2001,MACDONALD,CANARYSEED,C,7,921,0.089,Tonnes,197.0,Pounds
2017,CARTIER,OATS,E,5,760,2.867,Tonnes,185.9,Bushels
2001,EMERSON-FRANKLIN,CANARYSEED,C,3,645,0.082,Tonnes,182.0,Pounds
2017,ROCKWOOD,OATS,C,3,511,2.762,Tonnes,179.1,Bushels
2017,CARTIER,OATS,B,6,1057,2.75,Tonnes,178.3,Bushels
2013,MCCREARY,OATS,C,3,735,2.713,Tonnes,175.9,Bushels
2022,LORNE,OATS,C,19,3041,2.668,Tonnes,173.0,Bushels
2001,LAC DU BONNET,CANARYSEED,E,4,639,0.078,Tonnes,172.0,Pounds
2017,MACDONALD,OATS,C,12,2852,2.638,Tonnes,171.1,Bushels
2017,WINNIPEG,OATS,D,3,1117,2.629,Tonnes,170.5,Bushels
2017,HEADINGLEY,OATS,C,4,1409,2.607,Tonnes,169.0,Bushels
2022,ROLAND,OATS,D,19,3976,2.563,Tonnes,166.2,Bushels
