"YEAR","CANADA TOTAL","Ontario","Manitoba","Saskatchewan","Alberta","British Columbia"
"2023","36.9","53.4","43.2","34.8","37.9","35.1"
"2022","38.8","50.9","43.3","38.0","38.1","30.3"
"2021","28.4","43.0","36.4","25.8","28.9","28.6"
"2020","41.8","45.9","41.4","42.7","40.2","30.0"
"2019","41.9","43.2","42.0","42.8","40.3","41.6"
"2018","40.6","47.1","43.3","40.7","38.8","40.7"
"2017","41.3","46.5","44.0","39.3","43.7","36.3"
"2016","42.3","41.9","37.1","42.1","45.4","41.9"
"2015","39.2","42.9","39.5","37.9","41.4","34.7"
"2014","34.9","43.1","35.1","33.0","37.8","30.5"
"2013","40.2","36.7","41.4","38.2","43.1","39.1"
"2012","27.9","36.5","25.7","25.1","33.8","30.4"
"2011","34.3","36.9","28.3","32.9","39.5","29.1"
"2010","33.3","41.6","31.4","30.9","38.0","17.5"
"2009","35.3","39.4","39.8","35.2","32.7","30.6"
"2008","34.7","40.0","36.9","32.4","36.9","28.0"
"2007","27.1","34.7","28.3","24.5","30.0","30.0"
"2006","30.7","41.7","32.5","27.6","33.7","20.0"
"2005","32.7","25.0","25.7","31.6","37.9","37.3"
"2004","28.1","37.3","30.8","22.7","34.2","31.1"
"2003","25.8","36.0","31.3","20.9","29.7","24.3"
"2002","22.2","32.5","29.8","18.6","21.6","20.0"
"2001","23.7","39.4","26.6","20.2","27.3","25.0"
"2000","26.5","37.8","28.4","25.8","26.1","30.4"
"1999","28.2","34.3","30.6","26.7","29.0","27.5"
"1998","25.1","38.5","29.1","23.0","25.3","27.0"
"1997","23.4","36.9","28.1","21.3","23.5","18.2"
"1996","26.2","40.0","30.4","25.3","25.0","21.0"
"1995","21.8","34.1","23.3","19.0","24.5","23.5"
"1994","22.4","36.4","26.2","21.4","21.8","20.9"
"1993","23.9","34.0","22.0","22.9","26.1","19.0"
"1992","22.7","37.1","28.1","21.0","21.6","16.0"
"1991","24.0","31.1","28.0","22.6","24.0","16.5"
"1990","23.0","38.0","23.3","22.9","23.1","16.3"
"1989","19.8","27.5","15.5","18.2","23.0","20.0"
"1988","20.4","21.8","17.5","17.7","24.2","24.0"
"1987","25.6","32.5","25.8","25.3","25.3","22.0"
"1986","25.7","34.8","25.5","25.2","25.0","19.0"
