"Estimated areas, yield, production, average farm price and total farm value of principal field crops, in metric and imperial units c 1 2 3 4 5 6 7 8 9"
"Frequency: Annual"
"Table: 32-10-0359-01 (formerly CANSIM 001-0017)"
"Release date: 2023-12-04"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Harvest disposition","Average yield (bushels per acre)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of crop","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Barley 10 11","26.8","29.7","22.5","29.2","31.2","30.0","24.2","31.4","23.7","23.0","24.5","21.3","24.8","21.4","27.6","27.7","26.1","24.7","27.4","27.7","27.9","17.3","24.3","17.8","21.5","17.3","17.6","21.6","16.2","19.2","23.0","23.7","24.0","20.8","37.2","25.6","26.7","21.4","23.7","18.9","23.8","19.9","25.7","31.3","34.4","29.4","22.3","25.4","32.1","23.0","25.6","27.3","28.2","20.4","31.4","35.8","30.7","35.7","39.7","31.1","36.8","39.7","41.3","43.0","41.4","39.3","34.3","39.6","44.9","46.2","45.3","42.3","45.2","46.6","50.4","43.8","41.9","48.5","56.1","51.8","45.8","46.3","55.2","51.2","54.1","58.0","53.1","55.5","59.2","53.5","55.3","60.3","55.0","48.6","41.5","51.4","60.8","59.7","55.2","51.2","62.5","60.6","59.2","61.1","53.9","71.1","61.0","65.2","72.5","69.4","65.0","70.8","71.1","43.1","70.4","61.3"
"Canary seed 10","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Canola (rapeseed) 10 12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","13.8","11.3","13.4","11.0","7.5","16.0","17.0","5.0","18.5","15.0","16.6","14.4","11.3","17.0","14.0","12.4","16.7","14.6","15.8","15.8","17.5","16.7","15.7","16.9","15.2","18.4","16.6","17.8","17.9","17.5","16.8","16.2","17.9","20.8","24.2","22.1","17.9","21.3","23.5","22.4","20.0","19.8","22.4","25.7","25.6","20.4","19.8","23.0","24.0","22.7","23.9","22.4","21.8","26.2","23.4","25.1","28.2","26.5","23.7","22.2","25.8","28.1","32.7","30.7","27.1","34.7","35.3","33.3","34.3","27.9","40.2","34.9","39.2","42.3","41.3","40.6","41.9","41.8","28.4","38.8","36.9"
"Chick peas 10","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Corn for grain 10 13 14","62.5","54.7","48.8","59.6","56.9","60.3","54.4","56.7","36.3","33.1","56.8","64.0","49.2","50.2","43.3","42.8","40.7","44.2","37.3","32.4","37.7","34.1","36.1","41.3","38.9","37.0","42.2","46.3","37.0","32.7","42.7","44.2","37.4","41.7","40.4","33.9","43.4","43.8","42.4","37.9","49.2","50.2","45.3","50.6","58.3","57.7","54.1","62.2","54.6","57.8","60.3","63.7","57.3","73.0","76.0","65.5","80.7","79.8","82.3","84.6","84.8","75.1","84.0","82.2","75.0","84.3","69.9","91.5","84.5","92.0","83.8","88.2","89.7","93.3","93.7","87.9","94.0","98.9","94.8","111.8","87.3","101.2","109.3","106.9","91.7","106.3","117.7","115.6","110.2","109.5","127.5","127.0","100.1","105.4","111.7","124.6","131.3","137.1","135.0","135.6","144.6","133.7","155.4","142.3","145.9","152.1","148.1","162.6","156.5","159.7","154.6","147.2","153.5","159.3","160.4","158.1"
"Flaxseed 10 15","10.8","16.0","7.3","11.4","12.9","11.3","6.6","13.2","12.6","6.5","5.7","5.0","5.6","7.7","8.9","11.3","7.6","7.4","8.1","10.3","9.6","5.4","8.7","3.8","5.9","2.6","4.0","5.4","3.8","3.2","6.0","6.9","8.0","6.5","10.1","6.2","7.3","7.1","7.6","7.7","9.4","7.2","8.5","8.2","10.5","10.2","9.3","10.3","11.5","5.5","8.8","8.4","9.0","6.9","11.1","12.6","10.3","12.6","11.7","9.2","12.9","12.0","14.5","12.7","13.3","13.4","9.5","12.5","13.6","17.4","17.3","14.0","12.7","16.0","19.0","16.5","15.3","19.3","21.0","19.8","11.7","13.3","20.4","20.3","21.0","19.8","21.3","20.5","23.6","19.6","20.1","21.0","18.7","17.2","17.1","16.5","15.9","21.5","20.1","19.3","21.9","23.8","19.1","21.8","21.9","28.3","22.4","24.0","27.6","21.1","23.0","22.8","24.8","13.7","24.2","18.2"
"Lentils 10","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Mustard seed 10 16","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Oats 10 11","31.6","38.0","28.3","38.0","39.3","38.9","31.1","40.2","37.3","30.2","28.8","26.4","33.5","25.1","33.8","39.2","28.0","32.0","30.1","33.2","34.4","22.7","31.9","25.6","29.8","22.7","23.4","28.0","20.5","20.6","28.5","30.1","30.9","24.9","47.4","31.3","31.2","26.6","30.6","25.2","31.8","27.7","35.9","41.5","42.6","41.9","30.5","36.5","44.6","35.9","37.4","37.9","41.4","33.2","46.6","47.7","43.5","47.8","46.9","40.9","48.0","48.6","51.3","53.2","49.2","48.8","41.8","48.7","52.6","53.0","52.0","50.6","52.6","53.6","59.2","52.0","50.6","56.8","66.4","62.2","57.1","54.2","61.2","55.9","59.8","69.4","64.0","62.2","68.0","61.0","65.2","68.3","68.4","57.0","55.4","62.6","73.7","67.8","65.8","68.0","77.4","77.8","72.1","76.5","73.9","91.3","83.2","85.8","91.7","93.1","89.7","95.1","91.3","62.7","97.8","84.1"
"Soybeans 10 17","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","19.9","21.0","16.0","18.8","18.3","18.1","18.2","19.4","25.1","23.4","24.8","24.0","21.7","19.5","26.4","21.8","25.4","25.3","27.2","22.1","31.3","29.9","21.9","30.2","30.3","32.3","27.9","30.6","23.8","31.0","28.0","34.0","31.0","26.6","34.6","24.3","38.7","26.9","35.0","37.0","32.3","34.6","30.0","33.7","37.2","37.1","40.9","32.2","33.6","38.8","36.3","34.7","38.7","40.8","41.5","37.4","38.4","41.5","41.2","37.9","22.7","33.9","32.2","38.6","40.3","42.9","34.2","41.5","37.7","43.9","42.7","44.6","42.7","39.8","43.0","44.0","39.1","43.4","40.2","46.3","44.5","45.9","45.9"
"Sunflower seed 10 18","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Wheat, all 10 19 20","17.0","21.5","14.9","20.8","20.4","21.0","15.7","26.0","17.1","15.8","10.9","10.1","14.4","12.9","17.8","21.7","11.9","19.0","17.8","21.4","23.5","12.0","16.9","12.2","16.3","10.8","11.5","11.7","8.6","7.0","13.9","19.5","18.8","14.3","25.8","16.9","18.3","13.6","16.9","14.0","16.1","13.4","17.1","21.9","26.8","24.0","13.0","22.9","25.2","18.2","18.0","18.2","21.1","11.2","21.1","26.2","20.2","22.9","27.9","19.7","22.1","26.9","26.6","27.3","25.0","25.1","22.1","26.8","31.2","29.2","29.7","24.3","25.6","29.7","31.7","28.8","23.9","26.3","32.8","28.7","19.0","26.9","33.9","33.5","32.1","32.7","31.6","33.4","36.1","31.7","33.5","38.6","36.3","28.9","27.2","33.6","39.3","40.7","38.8","34.7","42.5","41.5","41.8","44.0","42.7","53.5","45.8","43.0","53.2","50.3","48.7","50.3","52.6","36.2","50.6","44.5"
"Wheat, durum 10","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","34.2","32.0","34.7","30.4","32.5","33.3","29.3","30.8","36.5","32.4","22.1","25.7","26.2","34.8","38.6","32.8","28.7","34.0","36.0","36.1","39.0","37.1","48.2","40.7","34.6","49.5","35.3","35.0","39.2","42.6","20.2","35.9","25.3"
"Wheat, spring 10","16.3","21.3","14.1","20.8","20.4","20.8","15.2","25.9","16.9","15.6","10.7","9.6","14.0","12.7","17.7","21.6","11.3","18.6","17.5","21.2","23.5","11.6","16.6","11.9","16.1","10.5","11.4","11.4","8.2","6.5","13.5","19.2","18.5","14.0","25.6","16.7","17.9","13.2","16.6","13.7","15.7","13.1","16.7","21.8","26.8","23.8","12.5","22.5","24.9","17.7","17.5","18.1","20.9","10.9","21.1","26.1","20.0","22.8","27.7","19.6","22.1","26.8","25.9","27.4","24.9","25.2","21.9","26.5","30.9","28.8","29.5","23.8","25.4","29.7","31.6","28.4","24.1","27.1","32.7","28.6","18.4","27.0","33.8","33.2","31.3","32.1","30.8","32.4","36.6","31.6","33.4","37.7","36.1","29.3","25.7","33.2","38.6","39.9","37.0","34.0","41.7","41.2","40.4","42.8","41.4","53.1","45.5","44.2","51.7","52.9","51.6","52.3","54.1","37.7","53.2","47.5"
"Wheat, winter remaining 10 21","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","37.1","44.6","38.7","42.0","39.8","43.9","41.3","43.5","39.5","45.4","49.2","43.6","44.9","40.5","42.9","48.0","48.1","39.1","42.5","39.7","35.5","36.8","34.7","38.0","47.7","53.8","47.4","62.4","49.0","59.5","63.5","39.8","54.1","56.7","67.7","66.4","56.4","60.8","66.9","63.0","61.6","71.7","58.3","66.7","60.0","68.8","66.3","65.8","70.0","63.3","64.6","79.1","75.9","75.2","67.9","75.3","81.0","87.0","83.9"

Symbol legend:
.., not available for a specific reference period
r, revised


"Table Corrections:"
Date,Note
"2016-12-13","On December 13, 2016, estimates for category "Wheat, all excluding durum wheat" in 2016 were corrected for the following geographies: Maritime provinces, East and Canada."
"2023-09-12","On September 12, 2023, the data for July 31, 2023 yield and production were restored to published values."
"2021-03-04","On March 4, 2021, the data for 2020 canary seed production in Manitoba were revised in both imperial and metric units."
"2019-12-12","On December 12, 2019, a correction has been made to the number for the production of dry coloured beans in hundredweight for Ontario and Canada in 2019. Both numbers have been divided by one thousand and yields have been adjusted to reflect the updated estimates."
"2019-10-11","On October 11, 2019, a correction was made to the 2018 Saskatchewan and Canada total summerfallow areas in hectares only. The area in acres was correct."



Footnotes:
1,"Field crop surveys collect data from Quebec, Ontario, Manitoba, Saskatchewan and Alberta on three occasions during the crop year (which extends from December to the following November). However, data are collected twice a year (in the Field Crops Survey - June on seeded areas and in the Field Crops Survey - November on final crop production) for Newfoundland and Labrador, Prince Edward Island, Nova Scotia, New Brunswick and British Columbia, which represent between 2% and 4% of national totals. As of July 2014 for the Atlantic Provinces and British Columbia, July and September production estimates are calculated using the final estimates of the last three crop years. The harvested area is first estimated based on the ratio obtained from the sum of harvested areas of the last three years over the sum of the seeded areas of the last three years. This average ratio is applied to their 2014 reported seeded acreage from the June survey. This estimated harvested area is then multiplied by the average yield of the last three years to estimate production."
2,"Totals may not equal the sum of their parts due to the use of conversion factors or rounding of fractions to whole numbers."
3,"On December 13, 2016, estimates for category "Wheat, all excluding durum wheat" in 2016 were corrected for the following geographies: Maritime provinces, East and Canada."
4,"Starting in June 2018, for March, June and November occasions, the Canadian total for a given crop includes all provincial estimates, whether they are published or not based on quality and confidentiality factors. Note that overall, the estimates of the most important crops non-published in the past generally represent less than 5% of the Canadian total."
5,"Starting in July 2019, model-based data were used estimate yield and production for the province of Manitoba for the July occasion."
6,"Starting in July 2020, model-based data was used to estimate the July occasion yield and production for the provinces of Ontario, Quebec, Manitoba, Alberta, and Saskatchewan.  The July model incorporates coarse resolution satellite data from Statistics Canada's Crop Condition Assessment Program, data from Statistics Canada's field crop reporting series, and agroclimatic data.  "
7,"Starting in September 2016, model-based data was used to estimate the September survey occasion yield and production for the provinces of Ontario, Quebec, Manitoba, Alberta, and Saskatchewan.  The September model incorporates coarse resolution satellite data from Statistics Canada's Crop Condition Assessment Program, data from Statistics Canada's field crop reporting series, and agroclimatic data up until the end of August.  In September 2020, an enhanced crop yield model that incorporates crop insurance was used."
8,"Provincial estimates released for July and September occasions, based on coarse resolution remote sensing imagery, may be unavailable in some cases. Canada totals represent the sum of available estimates."
9,"Starting in December 2022 seeding intentions, previously collected in March, are now collected in December."
10,"Metric data were previously released in CANSIM table 001-0010, which is no longer available as of December 2017. Metric and imperial data are now both included in table 32-10-0359-01 (previously known as 001-0017)."
11,"Data for British Columbia begin in 1910."
12,"Estimates are not available for small area, which were grown in Alberta and Ontario between 1943 and 1945. Data begin in 1943 for Manitoba and Saskatchewan, in 1955 for Alberta, in 1967 for British Columbia, in 1983 for Ontario, in 1996 for Quebec, and in 2012 for New Brunswick, Prince Edward Island, Nova Scotia and Newfoundland and Labrador."
13,"Data begin in 1941 for Manitoba, in 1979 for Alberta and in 1981 for Nova Scotia.  Data begin in 2006 for New Brunswick, in 2012 for Prince Edward Island, and in 2018 for Saskatchewan and British Columbia."
14,"Respondents are asked to report the percentage moisture of their harvested corn for grain. Estimates of corn for grain production are calculated using a standard percentage moisture content of 15.5%."
15,"Data for Quebec begin in 1910 and were discontinued in 1972. Data for Ontario also begin in 1910, but were discontinued in 1973, and data for British Columbia begin in 1924 and were discontinued in 1972."
16,"Data begin in 1951 for Alberta, 1952 for Manitoba and in 1960 for Saskatchewan."
17,"Most of the soybean crop is grown in Ontario but it was also grown in small areas in other provinces in the years 1942 to 1945. The total for Canada included this production but provincial data were not shown. Data for Manitoba begin in 1956, were discontinued in 1960 and re-activated in 2001. Data begin in 1986 for Quebec and in 1991 for Prince Edward Island.  Data for Nova Scotia and New Brunswick start in 2010, in 2013 for Saskatchewan, and in 2018 for Newfoundland and Labrador, Alberta and British Columbia."
18,"Data for Manitoba, Alberta and Saskatchewan begin in 1943.  Data were discontinued in 2005 for Alberta and in 2008 for Saskatchewan. Both re-start in 2018."
19,"Seeded area, yield and production of all wheat in Alberta include relatively small estimates of winter wheat for years 1921 to 1977."
20,"All wheat includes spring wheat, durum wheat and winter wheat seeded in the fall."
21,"Winter wheat remaining and fall rye remaining indicate the areas seeded in the fall of the previous year that are remaining after winterkill."



"How to cite: Statistics Canada. Table 32-10-0359-01  Estimated areas, yield, production, average farm price and total farm value of principal field crops, in metric and imperial units"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901
